filename,width,height,class,xmin,ymin,xmax,ymax
22.png,586,553,nose,218,230,370,362
21.png,651,664,nose,211,342,365,449
13.png,643,558,nose,317,303,408,380
35.png,641,505,nose,230,246,317,314
30.png,598,475,nose,258,222,345,275
45.png,741,576,nose,341,277,421,349
40.png,649,489,nose,204,159,271,214
44.png,694,557,nose,245,304,374,422
34.png,685,534,nose,255,251,324,302
23.png,590,565,nose,260,261,370,347
47.png,642,532,nose,253,254,329,319
5.png,669,561,nose,234,256,325,324
31.png,667,578,nose,194,233,346,366
2.png,754,624,nose,217,173,553,512
37.png,637,548,nose,252,278,327,343
7.png,699,564,nose,188,54,369,193
43.png,734,615,nose,400,328,545,439
46.png,664,529,nose,246,253,341,330
39.png,714,600,nose,267,314,363,388
20.png,628,581,nose,214,314,406,499
8.png,663,583,nose,267,288,392,382
25.png,634,482,nose,164,97,424,337
29.png,598,537,nose,263,291,355,373
49.png,649,539,nose,195,191,329,292
41.png,680,605,nose,228,239,362,349
14.png,636,594,nose,148,225,350,386
50.png,708,624,nose,234,212,315,282
38.png,705,603,nose,313,309,419,387
26.png,664,592,nose,153,136,471,418
16.png,636,556,nose,228,226,327,311
42.png,725,603,nose,355,280,479,387
17.png,669,563,nose,272,340,421,471
10.png,607,551,nose,224,226,352,324
19.png,594,491,nose,282,219,329,254
48.png,647,531,nose,291,315,449,443
18.png,637,557,nose,273,124,355,177
6.png,706,649,nose,168,232,301,334
27.png,644,611,nose,126,282,325,438
1.png,746,617,nose,179,174,601,553
24.png,622,573,nose,220,285,373,420
28.png,599,495,nose,298,302,467,444
36.png,657,515,nose,288,262,360,326
4.png,724,707,nose,182,206,561,484
32.png,603,520,nose,228,202,280,242
15.png,677,561,nose,204,276,457,462
9.png,653,554,nose,192,206,370,325
11.png,545,503,nose,272,93,391,201
33.png,815,661,nose,295,291,452,414
3.png,641,504,nose,111,263,248,373
12.png,655,617,nose,207,274,410,422
